collection_id,name,description,launch_date
1,Summer Garden 2023,Fresh floral and pastel pieces for summer,2023-05-01
2,Moonlit Nights,Celestial and gothic pieces for the dark romantic,2023-09-01
3,Cottagecore Dreams,Cozy autumn collection with nature-inspired pieces,2023-10-15
4,Winter Wonderland,"Icy blues, silvers, and snowflake-inspired jewelry",2023-12-01
5,Spring Awakening 2024,Delicate florals and pastels for the new season,2024-03-01
6,Y2K Revival,Throwback to early 2000s bold and fun jewelry,2024-04-15
7,Celestial Drop,"Stars, moons, and cosmic wonders",2024-07-01
8,Fairytale Endings,Enchanted forest and fairycore collection,2024-09-15
9,Minimal Luxe,Understated elegance for the minimalist lover,2024-11-01
10,Bloom & Blossom 2025,ONE BLOOM signature spring launch for 2025,2025-03-01
