cart_id,customer_id,created_at
1,19,2024-03-07 17:16:51
2,23,2024-02-26 21:55:01
3,17,2024-01-08 11:50:50
4,31,2024-10-28 10:01:11
5,34,2024-01-27 04:47:26
6,68,2024-02-28 23:04:30
7,58,2025-02-02 11:32:37
8,14,2024-08-19 16:14:39
9,6,2025-01-07 21:33:19
10,59,2024-11-25 00:03:30
11,52,2024-08-06 21:06:31
12,57,2024-02-07 02:20:38
13,19,2024-02-03 04:17:39
14,75,2024-10-07 22:20:24
15,77,2024-09-28 09:29:32
16,78,2024-08-08 03:50:44
17,15,2025-03-12 20:41:56
18,71,2025-01-04 06:27:28
19,30,2024-07-30 10:52:29
20,52,2024-07-31 23:06:20
21,55,2024-06-09 21:16:23
22,20,2024-12-17 15:04:05
23,11,2024-02-17 13:06:47
24,48,2025-02-19 04:35:03
25,76,2024-10-14 17:21:42
26,16,2024-07-29 11:55:42
27,55,2025-03-20 23:03:18
28,77,2024-06-08 11:06:36
29,65,2024-04-18 04:42:30
30,29,2025-03-09 03:22:54
31,72,2024-07-07 03:48:17
32,74,2024-04-25 13:54:35
33,80,2024-11-10 21:41:35
34,4,2024-11-07 21:53:44
35,35,2024-01-15 05:17:44
36,40,2025-04-16 10:22:00
37,24,2025-03-21 04:36:42
38,52,2024-02-05 04:47:40
39,4,2024-02-16 23:33:13
40,49,2024-08-02 14:21:10
41,48,2024-06-08 23:20:49
42,73,2024-11-01 02:56:03
43,20,2024-03-21 19:03:43
44,11,2024-05-19 14:42:27
45,63,2024-11-06 14:26:17
46,28,2025-01-21 16:07:22
47,56,2024-02-26 09:43:43
48,76,2024-09-06 16:42:19
49,6,2024-04-22 12:38:03
50,1,2024-04-14 09:13:49
51,18,2025-01-26 08:18:20
52,16,2024-01-04 15:47:27
53,23,2024-03-07 12:34:45
54,30,2024-09-13 17:53:42
55,46,2024-02-06 12:55:47
56,6,2024-08-11 00:29:58
57,10,2025-03-17 10:36:27
58,74,2024-07-26 22:40:26
59,38,2024-02-28 12:01:20
60,22,2025-02-14 19:29:53
61,47,2024-02-15 13:54:06
62,32,2024-08-11 18:25:33
63,11,2024-07-21 09:47:21
64,29,2024-06-19 05:04:32
65,15,2024-09-28 16:12:57
66,45,2024-06-28 23:52:41
67,19,2024-04-30 03:09:16
68,26,2024-03-29 19:09:48
69,10,2024-03-31 20:31:29
70,73,2025-01-24 18:28:43
