wishlist_id,customer_id,product_id,added_at
1,75,13,2023-09-17 18:49:06
2,37,69,2024-05-18 13:16:24
3,63,74,2025-02-13 15:02:11
4,36,52,2023-10-26 19:38:43
5,52,5,2024-07-10 10:44:15
6,7,61,2024-03-02 11:01:21
7,39,40,2024-03-14 15:54:44
8,13,30,2023-10-16 09:47:28
9,42,35,2024-07-31 19:41:05
10,25,57,2024-01-03 13:47:31
11,67,48,2023-07-28 16:50:10
12,9,40,2024-10-31 12:08:49
13,68,73,2023-06-30 05:12:56
14,26,8,2024-02-11 01:29:03
15,47,26,2024-03-07 11:52:29
16,65,51,2025-03-12 03:43:01
17,31,48,2024-10-13 19:28:11
18,61,76,2024-12-16 11:22:10
19,34,12,2024-03-18 00:24:03
20,21,74,2024-01-06 07:41:14
21,27,35,2025-03-29 13:32:01
22,2,61,2023-10-14 20:11:38
23,2,29,2024-02-14 19:51:19
24,36,55,2024-06-20 11:29:16
25,28,60,2024-04-05 21:33:52
26,80,51,2025-01-19 03:00:32
27,48,72,2025-03-24 19:38:18
28,39,14,2024-10-06 02:21:17
29,42,36,2024-02-23 20:45:57
30,39,25,2023-11-01 16:48:15
31,8,77,2024-07-18 21:20:43
32,18,4,2025-04-02 15:18:16
33,54,52,2024-07-02 23:02:37
34,74,25,2024-05-17 23:45:14
35,69,61,2025-04-18 11:32:19
36,22,72,2023-12-03 09:06:30
37,17,34,2024-12-24 05:43:57
38,43,12,2024-01-14 11:14:47
39,40,54,2024-05-05 11:16:37
40,38,60,2023-09-29 15:03:55
41,75,75,2025-02-25 02:30:56
42,25,65,2023-10-01 21:24:33
43,39,53,2023-07-26 04:08:12
44,44,53,2025-01-04 14:09:20
45,24,11,2024-10-12 10:40:11
46,41,8,2023-06-05 14:17:13
47,22,74,2023-11-10 15:50:48
48,12,17,2025-02-19 13:40:27
49,52,55,2024-10-01 12:00:02
50,69,26,2024-06-17 00:57:20
51,68,25,2023-06-19 21:00:40
52,32,29,2024-05-18 09:08:06
53,50,65,2025-01-23 09:10:04
54,6,39,2024-03-24 14:46:33
55,77,68,2024-05-11 13:56:43
56,18,44,2024-10-14 11:48:12
57,22,52,2023-06-20 07:14:46
58,17,28,2023-06-23 18:32:10
59,16,47,2025-03-28 01:24:56
60,33,69,2025-02-28 01:38:03
61,14,3,2023-07-20 22:07:26
62,57,49,2023-10-05 17:16:30
63,20,27,2025-03-07 00:19:26
64,13,67,2024-03-03 19:38:44
65,18,54,2023-09-16 16:46:39
66,16,37,2023-09-25 03:31:12
67,78,26,2024-02-25 16:12:22
68,53,38,2023-11-12 01:35:31
69,27,62,2024-05-04 07:00:00
70,12,15,2025-01-08 21:31:09
71,12,66,2023-08-16 23:46:06
72,33,30,2024-09-10 09:16:29
73,7,13,2023-11-26 01:54:18
74,47,41,2024-08-10 23:07:06
75,6,2,2023-10-20 21:41:10
76,43,46,2024-08-22 19:17:56
77,12,48,2024-05-16 05:07:25
78,52,59,2024-03-05 12:44:54
79,62,54,2025-03-26 05:07:08
80,8,21,2023-09-15 13:58:37
